batch_id,well_id,public_compound_id,control_name,source_row_after_sort,split
batch_1,1199,CPD_727697023490,AZD-3463,0,train_pool
batch_1,1594,CPD_727697023490,AZD-3463,1,test
batch_1,1747,CPD_727697023490,AZD-3463,2,train_pool
batch_1,2280,CPD_727697023490,AZD-3463,3,train_pool
batch_1,2560,CPD_727697023490,AZD-3463,4,test
batch_1,3182,CPD_727697023490,AZD-3463,5,train_pool
batch_1,3382,CPD_727697023490,AZD-3463,6,train_pool
batch_1,3471,CPD_727697023490,AZD-3463,7,train_pool
batch_1,3483,CPD_727697023490,AZD-3463,8,test
batch_1,3994,CPD_727697023490,AZD-3463,9,train_pool
batch_1,4307,CPD_727697023490,AZD-3463,10,train_pool
batch_1,4348,CPD_727697023490,AZD-3463,11,train_pool
batch_1,4477,CPD_727697023490,AZD-3463,12,test
batch_1,5086,CPD_727697023490,AZD-3463,13,train_pool
batch_1,5600,CPD_727697023490,AZD-3463,14,train_pool
batch_1,6430,CPD_727697023490,AZD-3463,15,test
batch_1,6569,CPD_727697023490,AZD-3463,16,train_pool
batch_1,6593,CPD_727697023490,AZD-3463,17,train_pool
batch_1,7020,CPD_727697023490,AZD-3463,18,train_pool
batch_1,8158,CPD_727697023490,AZD-3463,19,train_pool
batch_1,8160,CPD_727697023490,AZD-3463,20,train_pool
batch_1,8196,CPD_727697023490,AZD-3463,21,train_pool
batch_1,8626,CPD_727697023490,AZD-3463,22,test
batch_1,8740,CPD_727697023490,AZD-3463,23,train_pool
batch_1,8930,CPD_727697023490,AZD-3463,24,train_pool
batch_1,9032,CPD_727697023490,AZD-3463,25,train_pool
batch_1,9300,CPD_727697023490,AZD-3463,26,train_pool
batch_1,9413,CPD_727697023490,AZD-3463,27,train_pool
batch_1,9878,CPD_727697023490,AZD-3463,28,train_pool
batch_1,10033,CPD_727697023490,AZD-3463,29,train_pool
batch_1,10394,CPD_727697023490,AZD-3463,30,train_pool
batch_1,10570,CPD_727697023490,AZD-3463,31,train_pool
batch_1,10808,CPD_727697023490,AZD-3463,32,train_pool
batch_1,11192,CPD_727697023490,AZD-3463,33,train_pool
batch_1,11208,CPD_727697023490,AZD-3463,34,test
batch_1,11321,CPD_727697023490,AZD-3463,35,train_pool
batch_1,11329,CPD_727697023490,AZD-3463,36,test
batch_1,11371,CPD_727697023490,AZD-3463,37,train_pool
batch_1,11531,CPD_727697023490,AZD-3463,38,test
batch_1,11577,CPD_727697023490,AZD-3463,39,train_pool
batch_1,11609,CPD_727697023490,AZD-3463,40,test
batch_1,11643,CPD_727697023490,AZD-3463,41,train_pool
batch_1,11844,CPD_727697023490,AZD-3463,42,train_pool
batch_1,12033,CPD_727697023490,AZD-3463,43,test
batch_1,12114,CPD_727697023490,AZD-3463,44,train_pool
batch_1,12518,CPD_727697023490,AZD-3463,45,train_pool
batch_1,12634,CPD_727697023490,AZD-3463,46,train_pool
batch_1,12679,CPD_727697023490,AZD-3463,47,train_pool
batch_1,12777,CPD_727697023490,AZD-3463,48,train_pool
batch_1,12792,CPD_727697023490,AZD-3463,49,train_pool
batch_1,13067,CPD_727697023490,AZD-3463,50,train_pool
batch_1,13087,CPD_727697023490,AZD-3463,51,train_pool
batch_1,13302,CPD_727697023490,AZD-3463,52,test
batch_1,13627,CPD_727697023490,AZD-3463,53,train_pool
batch_1,13827,CPD_727697023490,AZD-3463,54,train_pool
batch_1,13925,CPD_727697023490,AZD-3463,55,train_pool
batch_1,14147,CPD_727697023490,AZD-3463,56,train_pool
batch_1,14474,CPD_727697023490,AZD-3463,57,train_pool
batch_1,14660,CPD_727697023490,AZD-3463,58,train_pool
batch_1,14749,CPD_727697023490,AZD-3463,59,train_pool
batch_1,14852,CPD_727697023490,AZD-3463,60,test
batch_1,14866,CPD_727697023490,AZD-3463,61,train_pool
batch_1,15060,CPD_727697023490,AZD-3463,62,train_pool
batch_1,15093,CPD_727697023490,AZD-3463,63,train_pool
batch_1,15763,CPD_727697023490,AZD-3463,64,train_pool
batch_1,15875,CPD_727697023490,AZD-3463,65,train_pool
batch_1,16016,CPD_727697023490,AZD-3463,66,train_pool
batch_1,16053,CPD_727697023490,AZD-3463,67,train_pool
batch_1,16054,CPD_727697023490,AZD-3463,68,train_pool
batch_1,16178,CPD_727697023490,AZD-3463,69,train_pool
batch_1,16315,CPD_727697023490,AZD-3463,70,test
batch_1,16424,CPD_727697023490,AZD-3463,71,test
batch_1,16427,CPD_727697023490,AZD-3463,72,train_pool
batch_1,16548,CPD_727697023490,AZD-3463,73,train_pool
batch_1,16599,CPD_727697023490,AZD-3463,74,train_pool
batch_1,16671,CPD_727697023490,AZD-3463,75,train_pool
batch_1,16741,CPD_727697023490,AZD-3463,76,train_pool
batch_1,17014,CPD_727697023490,AZD-3463,77,train_pool
batch_1,17185,CPD_727697023490,AZD-3463,78,train_pool
batch_1,17540,CPD_727697023490,AZD-3463,79,train_pool
batch_1,17649,CPD_727697023490,AZD-3463,80,train_pool
batch_1,17728,CPD_727697023490,AZD-3463,81,train_pool
batch_1,17978,CPD_727697023490,AZD-3463,82,train_pool
batch_1,18121,CPD_727697023490,AZD-3463,83,train_pool
batch_1,18350,CPD_727697023490,AZD-3463,84,train_pool
batch_1,18380,CPD_727697023490,AZD-3463,85,train_pool
batch_1,18397,CPD_727697023490,AZD-3463,86,train_pool
batch_1,18501,CPD_727697023490,AZD-3463,87,train_pool
batch_1,18846,CPD_727697023490,AZD-3463,88,train_pool
batch_1,18870,CPD_727697023490,AZD-3463,89,test
batch_1,19086,CPD_727697023490,AZD-3463,90,train_pool
batch_1,19322,CPD_727697023490,AZD-3463,91,test
batch_1,19563,CPD_727697023490,AZD-3463,92,train_pool
batch_1,20297,CPD_727697023490,AZD-3463,93,train_pool
batch_1,20594,CPD_727697023490,AZD-3463,94,test
batch_1,20633,CPD_727697023490,AZD-3463,95,train_pool
batch_1,20692,CPD_727697023490,AZD-3463,96,train_pool
batch_1,20923,CPD_727697023490,AZD-3463,97,test
batch_1,20925,CPD_727697023490,AZD-3463,98,train_pool
batch_1,21026,CPD_727697023490,AZD-3463,99,train_pool
batch_1,21130,CPD_727697023490,AZD-3463,100,train_pool
batch_1,21162,CPD_727697023490,AZD-3463,101,test
batch_1,21309,CPD_727697023490,AZD-3463,102,test
batch_1,21386,CPD_727697023490,AZD-3463,103,train_pool
batch_1,21511,CPD_727697023490,AZD-3463,104,train_pool
batch_1,21517,CPD_727697023490,AZD-3463,105,test
batch_1,21533,CPD_727697023490,AZD-3463,106,test
batch_1,21726,CPD_727697023490,AZD-3463,107,train_pool
batch_1,22137,CPD_727697023490,AZD-3463,108,train_pool
batch_1,22189,CPD_727697023490,AZD-3463,109,train_pool
batch_1,22335,CPD_727697023490,AZD-3463,110,test
batch_1,22600,CPD_727697023490,AZD-3463,111,train_pool
batch_1,23047,CPD_727697023490,AZD-3463,112,train_pool
batch_1,23061,CPD_727697023490,AZD-3463,113,train_pool
batch_1,23107,CPD_727697023490,AZD-3463,114,test
batch_1,23492,CPD_727697023490,AZD-3463,115,train_pool
batch_1,23541,CPD_727697023490,AZD-3463,116,train_pool
batch_1,23588,CPD_727697023490,AZD-3463,117,train_pool
batch_1,23804,CPD_727697023490,AZD-3463,118,test
batch_1,24084,CPD_727697023490,AZD-3463,119,train_pool
batch_1,24194,CPD_727697023490,AZD-3463,120,test
batch_1,24254,CPD_727697023490,AZD-3463,121,train_pool
batch_1,25310,CPD_727697023490,AZD-3463,122,train_pool
batch_1,25439,CPD_727697023490,AZD-3463,123,test
batch_1,25725,CPD_727697023490,AZD-3463,124,train_pool
batch_1,25734,CPD_727697023490,AZD-3463,125,train_pool
batch_1,25900,CPD_727697023490,AZD-3463,126,train_pool
batch_1,25905,CPD_727697023490,AZD-3463,127,test
batch_1,25937,CPD_727697023490,AZD-3463,128,train_pool
batch_1,26227,CPD_727697023490,AZD-3463,129,train_pool
batch_1,26239,CPD_727697023490,AZD-3463,130,train_pool
batch_1,26246,CPD_727697023490,AZD-3463,131,test
batch_1,26257,CPD_727697023490,AZD-3463,132,train_pool
batch_1,26342,CPD_727697023490,AZD-3463,133,train_pool
batch_1,26400,CPD_727697023490,AZD-3463,134,train_pool
batch_1,26502,CPD_727697023490,AZD-3463,135,train_pool
batch_1,26619,CPD_727697023490,AZD-3463,136,train_pool
batch_1,26732,CPD_727697023490,AZD-3463,137,test
batch_1,26769,CPD_727697023490,AZD-3463,138,train_pool
batch_1,26794,CPD_727697023490,AZD-3463,139,train_pool
batch_1,26999,CPD_727697023490,AZD-3463,140,train_pool
batch_1,27092,CPD_727697023490,AZD-3463,141,train_pool
batch_1,27112,CPD_727697023490,AZD-3463,142,train_pool
batch_1,27230,CPD_727697023490,AZD-3463,143,train_pool
batch_1,27262,CPD_727697023490,AZD-3463,144,train_pool
batch_1,27765,CPD_727697023490,AZD-3463,145,train_pool
batch_1,27933,CPD_727697023490,AZD-3463,146,train_pool
